,post,gt_labels,pred_labels
23,yet u let terrorist like anjem spit hate at everyone . anyone who doesn't like islam is racist ? ?,stereotypical,white_grievance
24," is it technically considered a hate crime now to yell   "" trump ! trump ! trump ! "" "" at brown people ? #maga """,incitement,white_grievance
25,"people ask..if parents get deported, what of kids? duh, take them with you. i would",irony,irony
26,sounds like some sort of skinhead thing  which is the complete opposite of identity evropa's aesthetic .,incitement,incitement
27,translated that means throw out all current immigration laws and open the borders to the masses.,irony,white_grievance
28," i have a koran sitting here next to me ! !  "" kill infidels "" "" "" kill jews "" "" "" kill kuffars "" "" and u were saying ? """,stereotypical,stereotypical
29,"jeff, let's hit these illegal sanctuary cities in the pocketbook, just where it hurts..then watch them get in line very quickly !",threatening,threatening
30,the southern poverty law center almost got me killed . why does the media still propagate its hate map ?,white_grievance,white_grievance
31,the answer is simple come legally you stay. come illegally you get deported. here illegally now you get deported.,incitement,white_grievance
32,why do colored people eagerly run to white countries to be oppressed ?,inferiority,white_grievance
33,thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white,white_grievance,white_grievance
34,"guantanamo is too good for them, gallows are better",threatening,threatening
35,what happens when the whites get a belly full of diversity and leave .,incitement,white_grievance
36,i agree i think his real name is scum dog doesnt he live in the swamp isnt he a scum sucking maggot,inferiority,inferiority
37,they hate white people alex ! and nobody hates them more than the people who look like the cast of seinfeld ! tell your viewers !,stereotypical,white_grievance
38,texas a & m . #projectsiege,incitement,incitement
39,an interesting theory but it doesn't change that jews are white,incitement,stereotypical
40,i think it'll be covered once all the #illegals are out!,threatening,white_grievance
41," rt antiwhites expose their hatred of white kids after seeing this picture . white child =  "" white supremacy "" "" """,white_grievance,white_grievance
42,oh  i thought ben sasse was the jew who said it was time to wound white people .,stereotypical,stereotypical
43,wtf is wrong with this country? this useless piece of trash comes to this country illegally then ruins the lives of 130 people disgusting,inferiority,inferiority
44,i am not jewish blood . i don't support jew agenda's or jew supremacy . jason are you a jewish supremacist ?,stereotypical,stereotypical
45," rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,stereotypical,stereotypical
46,funny italy and france don't use illegals to pick grapes.,irony,irony
47,"he is technically 100% right..the problem is not muslims but islam, which makes monsters",inferiority,inferiority
48,jews on ' white genocide ' #whitegenocide via mass immigration .,white_grievance,white_grievance
49,: hero of the white race : arthur jensen  passes away . #news #race #aryan #psychology,incitement,incitement
50,It's time for a purge https://twitter.com/spf_7k/status/1031505226434584...,threatening,threatening
51,racist ( anti-white ) commieleftwhite mayor #nola incr.antifa  blmpwrs & deeply div .,white_grievance,white_grievance
52,i cannot refute autistic screeching. even jewish sorcery has its limits.,irony,stereotypical
53,"lol. yes, africa isn't a developed land because of whites.",irony,white_grievance
54,now it is full of jew and government infiltrators .,stereotypical,stereotypical
55,white people need to travel in groups of 3 to 5.america is a combat zone.no respect for womenchildren elderly .,white_grievance,white_grievance
56,: caleb russell inspires next #cair bus ad : #myjihad is to kill all the white people on this bus,stereotypical,white_grievance
57,: black on white crime is the new norm in america . watch colin flaherty videos on you tube,stereotypical,white_grievance
58,Heard this from a 12 year old: 'Whats the difference between black people and apples?' I like apples,irony,irony
59,i'm sure they will protect a gay jew .,white_grievance,stereotypical
60,what could people in disagreement with national socialism possibly be missing ? murderous thuggery = we got it . individ liberty is best .,stereotypical,stereotypical
61,hias jew organisations pro islamification us . so just need 2 beat them,stereotypical,incitement
62,My sense of humour is so dark It pays child support,irony,irony
63,that is not true ! hindus are theives they saw a white man show them,incitement,stereotypical
64,race war brewing : dallas shooter confirmed member of new black panther party | read more : via,stereotypical,stereotypical
65,not white in the head - breitbart via,incitement,white_grievance
66,jews are known for bravery . they could simply move to israel but instead they try to pass as white .,stereotypical,stereotypical
67," i like jared taylor .  "" he white "" "" """,incitement,incitement
68,time to band together and get sickening vocal. whatever it takes to stop this garbage and the carriers of garbage. t,inferiority,inferiority
69,islamist infestation in white house ? #rt #stopislam #crusades #makedclisten #wakeupamerica,incitement,inferiority
70,make america white agen,incitement,incitement
71,sweden : nordic resistance movement holds major rally | read more : via last thank god ( not allah ) .,incitement,stereotypical
72,no more white submissivism to jewish supremacism .,white_grievance,stereotypical
73,you have it all wrong ! nazism isn't white this  white that . it's about being a powerful regime ! remember our fathers ! #nazigermany,incitement,incitement
74,keep kicking and braying for me donkey!,inferiority,irony
75,what do you get when you cross a black man and an octopus ? i do n't know but it 's damn good at picking cotton .,irony,irony
76,: black activists call for lynching and hanging of white people and cops,white_grievance,white_grievance
77,jewish money is funding #farleft radicals & jew media is pushing their propaganda .,stereotypical,stereotypical
78,indigenous people & nazi's have long time ties & friendships . #sociology,incitement,incitement
79,auschwitz - april 1944 - the sick and disabled . : according to the fable of auschwitz  if you were not fit for ...,incitement,white_grievance
80,stop with the warnings. start the action! sic em!,threatening,threatening
81,"1st, #border control; 2nd #e-verify; then discuss #deportation priorities & #daca.",incitement,incitement
82,darren wilson did his job and is now unemployable ; michael brown tried to kill him and is a martyr to blacks and white liberals #america2015,white_grievance,white_grievance
83,ha right ! either that or they'd boycott his speech . hopefully one day we will all understand that #withjewswelose,incitement,incitement
84,israel spies on america to make the first move against the white race via,white_grievance,white_grievance
85,no place for them to go but back where they came from or they can go stay with the obama's in their mansion!,irony,irony
86,don't forget that in addition to being white makes you a racist we're supposed to feel guilty abt what monsters we r & how easy we've had it,white_grievance,white_grievance
87,white south africans like frogs in boiling water as anti-white racial violence escalates via,white_grievance,white_grievance
88,if you want open boarders take down your doors and windows off your house and put a sign up says all are welcome & you take care of them.,irony,incitement
89,"plea to america: melt congressional phones, kill executive amnesty",incitement,incitement
90,enforce immigration laws or become 'a third-world nation' - via,inferiority,inferiority
91,bcuz white ppl exist which makes black kids murder each other over sneakers and street cred ... curse u white supremacy .,stereotypical,stereotypical
92,no more refugees! start sending all of them back! treat it like tps= temporary!,threatening,threatening
93,the 1790 naturalization act explicitly stated that america was only for white,incitement,incitement
94,shouldn't have funds for any illegals other than expediting them out of here asap.,threatening,white_grievance
95," rt #egypt democracy lovers shouted  "" jew ! jew ! "" "" during their sexual assault #islam #islamophobia """,stereotypical,stereotypical
96," #makeacelebrityirish samuel l jacknazi #samjacknazi  "" : happy #stpatricksday ; #ireland #aryan "" "" #racetogether # 8 """,irony,incitement
97,number 5 addition : unless they're black  then call them a twitter bot or say they hate themselves .,white_grievance,stereotypical
98,bcs in this hell hole state. illegals have more rights than citizens.,white_grievance,inferiority
99,i support his being set free  but afterwards  he is to be excommunicated from any white,threatening,white_grievance
100,whores of babylon : lena dunham celebrates white genocide via,incitement,white_grievance
101,what she really means is your white  allah will judge you  and non-believers have no morality . ;) :,irony,stereotypical
102,breaking : supreme court redefines marriage . show your support for #1m1w marriage by signing the statement right now .,incitement,incitement
103,white men can sleep with other races but should marry within their own race . white women should remain virgins until their wedding night and should only be with white men .,incitement,stereotypical
104,"if you want to live under the constitution you must give up natural order. natural, animalized order is all non-reform muslims know",inferiority,stereotypical
105,this is what you get when you preach anti white hate and white genocide .,white_grievance,white_grievance
106,"i work for willy wonka, and i'm hiring little people for our latest expansion. do ya think your wee friend is interested?",irony,irony
107,the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu,stereotypical,stereotypical
108,pro-american pro-identitarian easily defensible easy to understand great optics .,incitement,incitement
109,#howtospotafeminist their favorite colour isn't white .,irony,irony
110,is a racist hispanic supremacist that hates white people and jokes about illegal aliens crapping in our american food supply .,white_grievance,white_grievance
111,gingers are fitwomen that is..ginger men are aids,inferiority,inferiority
112,those pesky buddhist again!,inferiority,stereotypical
113,What is the fastest way to get jewish guests out of your house? vacuum cleaner,irony,irony
114,if you denounce these acts  you're islamphobe and you're accused of hate speech . denouncing rape = islamophobia / hate speech .,white_grievance,white_grievance
115,"brave man. he has a point. but, at least teach them that being an illegal alien is a violation of law.",threatening,white_grievance
116,future white jihadist inshatler,stereotypical,incitement
117,your white privilege is showing through bro #maga,irony,white_grievance
118," yes white brethren we shall unite rt  "" : kkk alive and well white brother hood unite ku klux klan "" "" """,incitement,incitement
119,"as an example, obamas white genetics gave him the intelligence to be president.",inferiority,inferiority
120,another reason to be disturbd by the america-hating  jihad enabler in white house rt : such a peaceful religion ...,stereotypical,stereotypical
121,creativity is the only hope for white people . - white people are the best -,white_grievance,incitement
122,europe is in a state of silent  undeclared war against its own indigenous #whitepeople . wake up white people !,white_grievance,white_grievance
123,secure borders and impeach that's what you need to do. protect us! protect us!,incitement,incitement
124,i have lived this a know what is in-store for all whites . i've seen our woman raped and brothers beat with 2x4s . blacks and browns hate us .,white_grievance,stereotypical
125,ethnic norwegians disappearing as non-white colonization intensifies #swrm #white via,white_grievance,white_grievance
126,"in an industry of smart, spergy whites & asians, it wld be remarkable if there weren't dissident rightists.",inferiority,white_grievance
127,especially on a campus that has professors advocating against white makes and for white genocide,white_grievance,white_grievance
128,"if the 4a doesn't prevent customs from making warrantless searches, 1a doesn't prevent a ban on muslim immigration.",threatening,incitement
129,what do you call a sheet of metal leaning on a tree ? free aboriginal housing .,irony,irony
130,detroit : the death of white civilisation via #race #demographics #nationalism #ethnicity #europe,white_grievance,white_grievance
131,funny how most of those categories of whiteness are all more civilized and prosperous than the majority of non white civilizations,inferiority,inferiority
132,call us names all you want  but white identity is here to stay & it's only going to continue to grow . #whitegenocide,white_grievance,white_grievance
133,but they'll pack explosives made with gelatin to their bodies and explode themselves in a spray of pig fat.,irony,inferiority
134,jews push 4immigration and white genocide :,white_grievance,white_grievance
135,"  "" : kkk alive and well white brother hood unite ku klux klan "" "" if it aint white it aint right """,incitement,incitement
136,leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,white_grievance,white_grievance
137,this boomer became an active white racist in 1968  wallace campaign  nsrp and finally nswpp  now new order so -,white_grievance,white_grievance
138,illegals can sue hahahawell winning your lawsuit is another matter!,irony,white_grievance
139,what do you call a homosexual on rollerblades ? rolaids,irony,irony
140,the white genocide continues : white race now a minority in three more uk towns and cities via #flegs,white_grievance,white_grievance
141,"alejandro: you will not survive here. you are not a wolf, and this is a land of wolves now",inferiority,inferiority
142,whites don't need anyone's permission to take care of themselves .,incitement,white_grievance
143,britain sees race war brewing between non-white invaders via,incitement,incitement
144,"Via @VDARE‍, article on how the death penalty improved the European gene pool by removing the most violent and least religious young men: https://www.vdare.com/articles/death-penalty",threatening,stereotypical
145,elephant in the room: immigration-driven population growth creates unparalleled demand for housing. #toomanypeople,inferiority,stereotypical
146,russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,incitement,incitement
147,do not let this happen! illegal is the operative word!,threatening,incitement
148,moscow ? or pakistan ? .. #wr #whiteresistance #whitegenocide,white_grievance,white_grievance
149,"  "" america was built by white people  and a small portion of them happened to use black people as farm equipment . "" "" """,inferiority,inferiority
150,what does a muslim do with their iphone <number> ? just kidding ! they prefer the note <number>,irony,irony
151,How does a Mexican family take a photo together? They get in the back of a truck and run a red light.,irony,irony
152," african  "" refugee "" "" was only here nine days before raping a woman | full story : """,stereotypical,stereotypical
153,this whole narrative that #daca people do so much for our economy is just not true . most are more racist than any white person in 2017 .,stereotypical,white_grievance
154,why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra,stereotypical,stereotypical
155," jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,white_grievance,stereotypical
156,*most boys @ihatethiskid I'm not sexist but all the internet does is show that most girls don't know how to form their own opinions.,inferiority,stereotypical
157,white men  think you are a child .,inferiority,white_grievance
158,i'm waiting for the left to call that killer in virginia a racist because he was . he killed two whites simply because they were white .,white_grievance,white_grievance
159,"you can tell a lot about a man by the car he drives for example , if it 's a black man , it 's not his car .",irony,irony
160,murdered white south african farmer couple tortured for hours by racist blacks  court hears via,white_grievance,stereotypical
161,why is #whitelivesmatter racist ? it isn't ...,white_grievance,white_grievance
162,i can't stand these people saying white lives matter is racist but black lives matter isn't . even worse the white ppl with blm,white_grievance,white_grievance
163,. too few of whom have jobs already. and we import peasants with diseased minds and bodies that have only disdain for us.,inferiority,inferiority
164,hire more border guards. turn them back!,threatening,threatening
165,considered to be us ! so get with the program and go all out white nationalist ! its the white thing to do !,incitement,incitement
166,What’s the best part of being a doctor? Vegetables don’t need to give consent.,irony,irony
167,No you can't like him. It's the most disgusting thing to mix a Black and an Asian!,inferiority,inferiority
168,"right, so lets outlaw it so women still cloths hooks up their snatch instead.",threatening,irony
169,why is it the #jews & #catholics of europe wanted to come to a country founded by evil white nationalist protestants ? #scalise,irony,stereotypical
170,"why bring any refugees at all? what good are they? average iq from syria is less than 90, these people will be a burden!",inferiority,inferiority
171,"If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",inferiority,inferiority
172,why should the white race not enjoy a homeland of their own making ? why should anyone actively seek to replace them ? that makes no sense .,white_grievance,white_grievance
173," who are we ? - ( of ) proposes the term  "" white advocate "" "" over #wn  #altright  identitarian """,incitement,white_grievance
174,another study finds races naturally separate #swrm we hate other races in our white countries ! via,incitement,white_grievance
175,white europeans are a great race and are recognized as being great around the world,inferiority,incitement
176,hang them by the neck!!,threatening,threatening
177,all nationalists - white  black  asian  or latin - are against globalization & foreign interference . they will fight jews .,stereotypical,incitement
178,hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,incitement,incitement
179,i oppose it for heathy white babies . in that instance  a white ethno-state would have a clear interest in seeing a birth .,incitement,incitement
180,so happy to see uneducated illegals going to canada,irony,inferiority
181,this is disgraceful makes me sick that it white on black crime that's mostly reported ! black on white happens more t repoted,white_grievance,white_grievance
182,if anyone really watched the difference between whites from houston after harvey w / pr & florida between ; you saw the difference in culture .,stereotypical,incitement
183,no  white women are on average closer to white men in intelligence than black men or women .,inferiority,stereotypical
184,"you're a smart guy, what color is your wife?",inferiority,irony
185,America will be great again especially after all of these people who made it a nightmare die off!! Good riddance!,threatening,inferiority
186,"  "" : #whatilove is the amazing  creative  white race . #whiteppl #whitepeople #whitepride "" "" lol """,incitement,incitement
187,i like my women the way i like my fish . . . battered .,threatening,irony
188,tv ads link #immigration to earth day air in san diego #earthday2014 #sandiego #toomanypeople,incitement,incitement
189,the real holocaust was done to germans by the allies  on the defenseless  not on soldiers  6 million myth only a cover-up story #whitegenocide,incitement,white_grievance
190,"no daca send them back to country of origin, build the wall, stop illegals from any birth rights to children or entitlements. no reason to come they'll stop.",threatening,incitement
191,"capital punishment time, forget deportation.",threatening,threatening
192,if someone invades the usa im picking up a gun and fighting u r welcome to hide under my bed,threatening,threatening
193,"you and your chucklefuck buddies are a bunch of un/underemployed white trash that have never read/enjoyed """"western culture"""" b/c of low iq.",inferiority,inferiority
194,ethnomasochists ? call them anti-white !,white_grievance,white_grievance
195,blacks in us literally take more then they give back  your people are taking white tax dollars & complaining that it's still not enough,stereotypical,white_grievance
196,i say take them east of maryland about 200 miles toss em out and let em swim back,threatening,irony
197,true . it's the white thing to do is help ur brother or sister out,incitement,white_grievance
198,another #jew admits to white #genocide being their goal . must watch # #immigration #racism,stereotypical,white_grievance
199,illegal aliens dare authorities to deport them #immigration #tcot #teaparty,incitement,incitement
200,"we're importing crooks, terrorists, 3rd world savages don't even know how to use flush toilet. they want us terrorized, all there is to it.",inferiority,inferiority
201,planned parenthood started to kill black babies . racist and murder . d,incitement,white_grievance
202,what 's the difference between feminists and hockey players ? hockey players shower after <number> periods .,irony,irony
203,obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas,incitement,white_grievance
204,very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide,white_grievance,white_grievance
205,these thugs don't care about race . that's a cover there using . they hate and want to destroy america .,stereotypical,white_grievance
206,Whats tougher than a white man roaming the streets of Compton.... A dog roaming the streets of China,irony,inferiority
207,the third-world colonization of australia has continued apace ! read more : via,stereotypical,inferiority
208,"marie, why didn't you come legally?",irony,irony
209,no it is a hate crime except that we acknowledge it and u white wash the evil islam is,stereotypical,stereotypical
210,yeah hopefully sweden can b saved . america is a lost cause few white people stand up .,white_grievance,white_grievance
211," philo-sem = expectedphilo white =  "" racist "" "" "" "" hate "" "" anti-racist is a code word for #antiwhite #whitegenocide """,white_grievance,white_grievance
212,he went to niggerum u just so uz can undastand himsgot a doctorate in welfare & #obamaphones,irony,irony
213,it's political parties like you that make america the great white god loving nation in is today #feelsgoodtobewhite,incitement,incitement
214,rt! illegal aliens should not have driving privileges!,threatening,inferiority
215,it is time to close the border by using the military; and start enforcing e-verify; deport all illegals,threatening,incitement
216,#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,white_grievance,white_grievance
217,when a white person tells the truth that black people are the cause of there own pro,inferiority,stereotypical
218,whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries,incitement,incitement
219,go ice! get all the bad hombres. thank you. #deportthemall #buildthewall #maga,threatening,threatening
220,according to leftists  we need to get rid of white people in general . you have legitimized white nationalism . thank you .,white_grievance,white_grievance
221,ok so white people are the only people not allowed to be proud . fact . white males are the most disadvantaged when it comes to societal pressure / government subsidiesthe founding fathers were white supremacists so was my great grandfather . every non white person is a supremacist,white_grievance,white_grievance
222,#muslimsturntojihad when you tolerate their backward 3rd world stone-age values.,inferiority,inferiority
223,go for it. i'll pay to transport illegals to your state. win win for u and me,threatening,irony
224,anti-racist equals anti-white billboard erected in arkansas ( video ) va,white_grievance,white_grievance
225,meaning 1 white for every 30 ?,white_grievance,irony
226,"boi we gonna send your kids across the border, get a taste of your damn medicine. never gonna see your family again fair.",threatening,irony
227,as it was intended .. #whitegenocide #kalergi,white_grievance,white_grievance
228,so  white lives don't matter to jews in nashville ?,irony,white_grievance
229,Why do black people turn left? Because they don't have rights.,irony,irony
230,four jewish media moguls drove us into ww 2 :,stereotypical,stereotypical
231,philip girladi interview  jewish americans pushing wars via,stereotypical,stereotypical
232,the white european race and its age-old struggle :,incitement,white_grievance
233,they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up,stereotypical,stereotypical
234,not racist at all brother makes you a patriot .,incitement,white_grievance
235,i agree with everything . black people are more racist than white people . sorry but is the truth .. thank you for your truth .,stereotypical,white_grievance
236,a nation is a product of race  culture and heritage of which a multicultural society destroys . white people need a land of their own .,incitement,white_grievance
237,the hostility and contempt the jew has for the white man and his civilization cannot be more obvious . jews are openly at war with whites,stereotypical,white_grievance
238,"if anyone in the doj actually cared, they would investigate these sanctuary supporting scumbags & stop this violence. dc is all talk.",inferiority,white_grievance
239," rt another jew pretending to be white to lecture us about  "" racism "" "" - these people need to be deported to israel """,stereotypical,white_grievance
240," textbook subversion : white house court jew gary cohn resurrects  "" war on coal "" "" via """,stereotypical,stereotypical
241,"  "" jewish "" "" bolsheviks are a clever bunch . "" "" zionists "" "" . "" "" neo cons "" "" . they own our media . """,stereotypical,stereotypical
242,our women the most beautiful . long live the white aryan race !,incitement,incitement
243,#blacklivesmatter and again . black on white crime ! what a surprise ...,white_grievance,white_grievance
244,they should put them on a bus back to mexico,threatening,irony
245,aint that america : obama shoes : in this farce of a country  illegal aliens are showing up on the mexican bord ...,inferiority,inferiority
246,"the one on the left is european nostalgia, the one on the right is the latest in african technology.",inferiority,irony
247,let's be a white resister : because the beauty of the white aryan woman must not perish from the earth !,incitement,incitement
248,"there are both white and black supremacists, but when it comes to being self-sufficient, whites are much more capable, and you hold us back.",inferiority,inferiority
249," africa to be 80 % white  "" within 100 years "" "" i'm sure no one will mind . that would be racist . """,stereotypical,white_grievance
250,"  "" heritage not hate  guys ! the entire csa was black ! "" "" """,white_grievance,incitement
251,without white people to support blacks  blacks would go extinct in 6 months . they are too d,incitement,white_grievance
252,another white officer killed by a black thug . obama and his race baiters must be smiling from ear to ear .,stereotypical,stereotypical
253,jews have always instigated and radicalized other racial minorities against white societies - they admit it here :,stereotypical,white_grievance
254,"? not destruction of """"civilization"""" but merely a replacement of a sexually promiscuous culture with their prudent sexless culture!",inferiority,inferiority
255,"in a marketplace of ideas, few girls have anything original to offer. what they can offer is brief dopamine spurts from the occasional flirtation. assume everyone on the internet is a man, and act accordingly.",inferiority,inferiority
256,#antiwhite definition of bigot : someone who objects 2 a black burning a white child 2death  the black being just a victim of white racism,white_grievance,white_grievance
257,make it so horrendous that illegals don't want to come back illegally.,threatening,white_grievance
258,"gay or transgender, should not be in the scouts lgbt behavior not appropriate for scouts, not born that way",inferiority,stereotypical
259,notice they're a white couple . #antiwhite #chasingdownwhites #whitegenocide,white_grievance,white_grievance
260,: ku klux klan heads to ferguson race riots to guard white businesses and protect innocent whites,incitement,white_grievance
261,nba's millonare anti-black racist jew tells girlfriend  ' in israel  blacks are treated like dogs ' | read more :,stereotypical,inferiority
262,anti-whites will demonize any white person focusing on their race in a positive way . but if you look at,white_grievance,white_grievance
263,you can't be a jew and on the alt right . the alt right is woke to the jq,stereotypical,incitement
264," rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """,incitement,incitement
265,"they know how many overstayed, but what have they done about them?",white_grievance,white_grievance
266,if islam is banned what happens to the muslims? arrest them? kill them? what exactly?,threatening,stereotypical
267,absolutely  jews keep dying at the hands of white jews in order for the few je,white_grievance,stereotypical
268,i can go for no wall whatsoever just have armed military stationed along the border and shoot on sight,threatening,threatening
269," rt  "" master race "" "" ? well thanks  but "" "" white people "" "" will do . """,incitement,inferiority
270,muslims have been a problem since the 13th century! i'm sick of them in the 21st century! why can't they evolve?,inferiority,inferiority
271,yes  and give it to the white deserving poor .,inferiority,white_grievance
272,what is ironic about the lgbt <allcaps> flag ? all the colors are straight .,irony,irony
273,a perfect demonstration of fear-based mind control programming #withjewswelose #nomorejewishlies,stereotypical,stereotypical
274,did you all hear the bs the media is spreading about our fuhrer ? #micropenis,incitement,irony
275,"it is a travesty of justice. who was this guys lawyer? elmer fudd? and the judge, was he a muslim? the whole thing stinks.",irony,inferiority
276,What's the difference between a feminist and a knife? A knife has a point.,irony,irony
277,not all terrorists are muslims ( some are jews )  but all serial killers are jews pretending to be white . is pushing her lies,stereotypical,stereotypical
278,: white pill time : richard spencer helps to lead torchlight procession in support of white southern h,incitement,incitement
279,islam is a white man's fraud .,stereotypical,white_grievance
280,moscow bans george soros funds as threat to security via #withjewswelose,stereotypical,incitement
281,your can spend more time in jail for hate speach if your are a white swede than for rape if your a muslim invader .,white_grievance,white_grievance
282,"gather them up, send them to their home country, that should quiet them up",threatening,threatening
283,"they can't be taught,have had more than enough warnings,look at any country",threatening,inferiority
284,a white father who doesn't want a safe space for white children . if your line survives  they will come to hate the memory of you .,white_grievance,white_grievance
285,love white genocide . also see this :,white_grievance,white_grievance
286,judeo-mason stratagem : 1 ) establish a democracy 2 ) create a central bank 3 ) seize control of mass media 4 ) destroy racial / cultural identity,stereotypical,white_grievance
287,why do we have an immigration policy? should just let them have a free for all and all can pay!,irony,white_grievance
288,"toss their carcasses over the border, or in prison.",threatening,threatening
289,"native americans were here first, there's no denying it, and they didn't secure their borders. see what happens?",irony,incitement
290,rick perry on illegal mestizo invaders lunatic ... helping to push white #genocide in #america,stereotypical,white_grievance
291,why is jesus probably black ? because he can not tell who was his real father .,irony,irony
292,hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,stereotypical,stereotypical
293,let's be a white resister : because the beauty of white aryan woman must not perish from the earth via,incitement,incitement
294,in georgia  the #truconservatives are incapable of stopping the radical left from forcing christian pastors to perform gay marriages,white_grievance,incitement
295,anti-white ( ( ( ) ) ) walks out of gop convention . maybe he should move to israel since he so detests white goyim .,stereotypical,white_grievance
296,: #california taxpayers footing the bill for illegal alien driver's licenses #immigration #gapol ga2,inferiority,white_grievance
297,white genocide is real,white_grievance,white_grievance
298,i beg your pardon; every people have been repaired in latter generations except black people;all have been recouped,inferiority,irony
299,: peres : jews can live safely in palestinian state : whats this fear ? theyll kill jews ? today ?,stereotypical,stereotypical
300,rooney stfu you go to mexico and live you love them so much.tell you what move about a thousand into your neighborhood.then you would change your tune.,irony,stereotypical
301,selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,irony,irony
302,. iranian #military #leader : #islamic revolutionary guards will be in #us & #europe very soon #banislam,incitement,threatening
303,it has nothing to do with being american but everything to with the preservation of the white race .,white_grievance,white_grievance
304,"thats why dhs should put chutes on illegals, load em on plane, push them out over native country.",threatening,threatening
305,who cares to wager that will attack tonight because they don't hate white kids ? #charlestonshooting #charlestonstrong,white_grievance,white_grievance
306,this #corrupt #us government is very #racist - it hates #whitepeople with a passion . ( hint #zog ),white_grievance,white_grievance
307,"about 8% of what it costs to feed, clothe, house & incarcerate them every year. #buildthatwall!",inferiority,incitement
308,wherever the alt-right / lite differ ideologically  we're united by an uncucked  defiant spirit . we're a different breed .,incitement,incitement
309," : australia returns non-white invaders to sri lanka ; jewish  "" human rights "" "" groups flip out """,white_grievance,stereotypical
310,"kick his whole family out as puniahment, send message, let no more in. wall off coast, ya cuck",threatening,threatening
311,the ( ( ( fake news media ) ) ),stereotypical,stereotypical
312,when white people accuse other white people of being white . the most bizarre form of intolerance and racism .,white_grievance,white_grievance
313,i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,incitement,white_grievance
314,uh white lives matter ?,white_grievance,white_grievance
315,"How do you always win an argument against a black person? Call him ""Dad"" and he'll run away.",irony,irony
316,: leftists march against white people across the usa via,stereotypical,white_grievance
317,keeping jihadis at bay is more important than free speech .,threatening,threatening
318,"or even better, get a job and pay her bills",irony,irony
319,profiteers ? nonsense . there is no money in #altright . we fight for freedom  not money .,incitement,incitement
