,post,gt_labels,pred_labels
129,good to hear - u cant violate our laws and expect to get away with it forever! go ice!!!,threatening,threatening
130,did he condemn the somali who murdered a ' white woman ? why are they even here ?,stereotypical,stereotypical
131,why don't we exterminate you aids carrying rodents and make the world a better place?,inferiority,inferiority
132,when a white person tells the truth that black people are the cause of there own pro,inferiority,stereotypical
133,sorry muslim not the highest,inferiority,stereotypical
134,whats a gay guys favorite restaurant? five guys,irony,irony
135,tv ads link #immigration to earth day air in san diego #earthday2014 #sandiego #toomanypeople,incitement,incitement
136,i believe your are slurring all white people  its offensive . #waronwhites,white_grievance,white_grievance
137,our cities were actually livable when they were run by those ebil racist white soopremacists,inferiority,incitement
138,taught from preschool . taught white boys are racist and brown is ok .,white_grievance,white_grievance
139,christian leader : gay musical is ' sexual propaganda ' caught lying about obama  yet again,incitement,stereotypical
140,white identity politics does lift everyone . white race has been greatest good on the planet  race-wise .,inferiority,incitement
141,"whereas, one of these inbreds who can string a sentence together and quote the qaran becomes the leader of the numb-nuts.",inferiority,inferiority
142,i don't respect sexualities . sexualities aren't people . and they call themselves queers .,incitement,inferiority
143,make it so horrendous that illegals don't want to come back illegally.,threatening,white_grievance
144,what exactly is the meaning ? white people and only white people are called racist all the time for different reasons .,white_grievance,white_grievance
145,thank god for our military and vets! islam will be destroyed if they try any shit in america. #maga,threatening,threatening
146,"Wow, look at all these black kids. Hey, I bet they all have the same dad. All black people are totally related.",stereotypical,irony
147,what she really means is your white  allah will judge you  and non-believers have no morality . ;) :,irony,stereotypical
148," rt #demdebate summed up for you :  "" we hate white people and can't wait until usa is majority non-white  "" "" say all the white candidates on stage . """,white_grievance,white_grievance
149,i definitely am proud of being a white man and a brother in the superior aryan race .,incitement,incitement
150,Having a criminal record is more attractive to women than having a PhD A violent alpha male is the ultimate sexual desire for women.,stereotypical,inferiority
151,Heard this from a 12 year old: 'Whats the difference between black people and apples?' I like apples,irony,irony
152,dearly for their crimes against the white british subjects !,white_grievance,white_grievance
153,send the illegals back.the parents should have entered legally.mexico will take them back .,incitement,threatening
154,fight white genocide ! #whitegenocide #jewishsupremacy,white_grievance,white_grievance
155,#zimmerman doesn't have blue eyes. he's hispanic & black. that vermin helped the young black children in his neighborhood,inferiority,inferiority
156,newsflash : incompetent cuckold masquerading as journalist spreads anti-white hate : promotes replacement of europeans,white_grievance,white_grievance
157,"people, get on the horn & call the senate now to stop this big govt dysfunction called #amnesty. time is running out! call now 202.224.3121",threatening,incitement
158,here's a fact  if america was 100 % white it would be vibrant  prosperous &,incitement,incitement
159,it has nothing to do with being american but everything to with the preservation of the white race .,white_grievance,incitement
160,"dear #blacklivesmatter, keep shooting at police. i am certain they will not mind when citizens shoot you. . .",threatening,irony
161,lift off ! #altright,incitement,incitement
162,"she's an abrahamic, what were you expecting lol :) ?!",irony,irony
163,your white privilege is showing through bro #maga,irony,incitement
164,there are muslims who do not want to see sharia or jihad against the infidel in ameri,stereotypical,stereotypical
165," when islam is just  "" stuff white people like "" "" via """,irony,stereotypical
166,in a nutshell  if our government defends us and works for our interests  it's deemed hostile to a jewish minority .,white_grievance,stereotypical
167,supremacists of any tilt are stupid  black  white or whatever . and yes black supremacists exist  i just have to watch hidden colours to see .,white_grievance,incitement
168,"with fake diploma fake degree fake graduation degree, indian can easily cheat merit base immigration..",inferiority,inferiority
169,white power via,incitement,incitement
170,What's the difference between heroine and a black person? I think twice about shooting heroin.,irony,irony
171,the third-world colonization of australia has continued apace ! read more : via,stereotypical,inferiority
172,pro-american pro-identitarian easily defensible easy to understand great optics .,incitement,incitement
173,What are the advantages of being blacc? You can attend a funeral naked...,irony,irony
174,a white father who doesn't want a safe space for white children . if your line survives  they will come to hate the memory of you .,white_grievance,white_grievance
175,what do you call a smart black person ? nonexistent .,inferiority,irony
176,wake up real white people . italians are not white . they are half black .,incitement,incitement
177,strange how no sudden 6million dip in jewish population figures .,stereotypical,stereotypical
178,. too few of whom have jobs already. and we import peasants with diseased minds and bodies that have only disdain for us.,inferiority,inferiority
179,she is a poster child for idiocy! send her back to afghanistan,threatening,threatening
180,#spreadthetruth radical muslims came out again on the streets ( cont ),stereotypical,stereotypical
181,white power ! ! !,incitement,incitement
182,whiteness is supreme in white countries . every other race is even more ethnocentric than even whites are  in their respective countries,incitement,incitement
183,keep kicking and braying for me donkey!,inferiority,irony
184,hias jew organisations pro islamification us . so just need 2 beat them,stereotypical,stereotypical
185,"I made a Chad tinder profile Females don't care how vulgar or disgusting you are when you're attractive, if I was to say the same things I've said to these people with my real picture they would call the cops on me  So far I've had 60 matches and none of them were disgusted by my messages, which were asking for sex straight up",stereotypical,irony
186," saying someone isn't  "" a real jew "" "" isn't racist  there is no such thing as a jewish race . just lib jews """,stereotypical,stereotypical
187,another white officer killed by a black thug . obama and his race baiters must be smiling from ear to ear .,stereotypical,stereotypical
188,"  "" : kkk alive and well white brother hood unite ku klux klan "" "" if it aint white it aint right """,incitement,incitement
189,uh white lives matter ?,white_grievance,white_grievance
190,"pastors take note; white architect designed your church,whites built it,whites paid for it. whit",inferiority,incitement
191,it is no lie that kkk is the terrorist arm of the dems #history its for dinner,stereotypical,white_grievance
192,while the non-white man is free to express his own national and racial identity .,white_grievance,incitement
193,"send him to honduras with the other 500,000 pieces of trash",threatening,inferiority
194,looks like a good turnout ! congratulations ! white america desperately needs to see such events !,incitement,incitement
195," i'm not antisemitic  i support palestinians . faux polish jews that immigrated to palestine aren't semites  you know  the jew  "" refugees "" "" . """,incitement,stereotypical
196,"we need to stop terrorism. its bad!"""" your proposal is?""""only let in the based muslims!"""" o oh. okay.",irony,incitement
197,you should see sm . towns in arkansas ; majority were white 70 %  blacks 25 %  other 5 % . now . white 45 %  black 20 % & mexican ( maj . illegals ) 35 % !,stereotypical,incitement
198,they hate white people alex ! and nobody hates them more than the people who look like the cast of seinfeld ! tell your viewers !,stereotypical,white_grievance
199,citizens to kill jews for no reason . other than they believe everything belongs to them and if your not a muslim you have to die .,stereotypical,stereotypical
200,it's everywhere. doc to introduce electronic-monitoring program to help #overpopulation problem: #toomanypeople,threatening,inferiority
201,then go back to mexico .,incitement,irony
202,"wow, robert sounds like a 10-year-old stamping his feet and saying, """"it's not fair!"""". poor insecure thing. much love",irony,irony
203,"lol sure you do hon, you value god so much you support daily the slaughter if his most precious gifts. save illegals & kill babies",irony,stereotypical
204,: great new posts at ! white america awake rally this july 23rd !,incitement,incitement
205,switzerland : africans kill elderly white man then start screaming about racism #swrm via,white_grievance,stereotypical
206,why do we let jews control our society  frame every issue & dictate our historical and political paradigms ? #questionsineedanswersto,stereotypical,stereotypical
207,"  "" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """,stereotypical,white_grievance
208,that's a consolationto be killed by a middle class  educated jihadi rather than by,inferiority,stereotypical
209,what 's the difference between a black man and a lawn decoration ? a footstool and some rope .,irony,irony
210,white men built america . western civilization is the best .,incitement,incitement
211,new york : sicilian terrorist / governor andrew cuomo prepares to purge nyc of all confederate tributes via,white_grievance,white_grievance
212,wonder if white separatist will discuss #racist prison gangs killing law officials at conference near nashville  tn this wknd,white_grievance,white_grievance
213,that is not true ! hindus are theives they saw a white man show them,incitement,inferiority
214,if you denounce these acts  you're islamphobe and you're accused of hate speech . denouncing rape = islamophobia / hate speech .,white_grievance,white_grievance
215,how many americans & their dreams must die @ th hands of illegal aliens b4 we secure our borders,stereotypical,inferiority
216,".the ships were sabotaged by your sorry ass government..foreign matter into the fuel, etc",inferiority,inferiority
217,not a good time to be a old white guy,white_grievance,white_grievance
218,"trump has the veto power and must use it to kill this unconstitutional """"bill"""" (if it makes it to his desk).. and then start the deportation of all the illegals.",threatening,incitement
219,cnn will find and interview the one tranny in history that was inconvenienced,irony,inferiority
220,. clearly lgbts too stupid to know difference between psychotherapy & religious prayer ! ! #tcot,inferiority,inferiority
221,You were damn lucky to end up in America if u were a slave compared to the shitholes to the south of us. TRUTH,stereotypical,inferiority
222,white people are the mainstream . accept it . it's a good thing .,incitement,incitement
223,keep up the good work  ice !,incitement,irony
224,white people have no value to the left and the white on the left hate themselves,white_grievance,white_grievance
225,doesn't having white friends usually clear blacks of hate crime charges ?,stereotypical,white_grievance
226,"the yankees are so disenchanted with their women that they are ready to turn to waifus, sexbots and artificial wombs. i can't honestly blame them given what i have seen. we need to eradicate that degenerate culture before it spreads any further",inferiority,inferiority
227,Name one positive about Africa. The HIV Tests.,irony,irony
228,it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,white_grievance,white_grievance
229,no . this is the nation of the united states of america . white people are indigenous to the usa .,stereotypical,incitement
230,. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats,white_grievance,stereotypical
231,jewish war on nordic sweden : israeli government openly exports african illegal immigrants to,stereotypical,stereotypical
232,another reason to be disturbd by the america-hating  jihad enabler in white house rt : such a peaceful religion ...,stereotypical,stereotypical
233,"jeff, let's hit these illegal sanctuary cities in the pocketbook, just where it hurts..then watch them get in line very quickly !",threatening,irony
234,You mean your boyfriend coded it up in a week!,inferiority,irony
235,russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,incitement,incitement
236,"let's start issuing boarder zone hunting licenses, non-lethal of course",threatening,threatening
237,jews are known for bravery . they could simply move to israel but instead they try to pass as white .,stereotypical,incitement
238,"bless her heart! when she joined antifa, the terror-trainer supervis",irony,irony
239,you've proven nothing except that you hate white people and wish to bring down whites .,white_grievance,white_grievance
240,"  "" diversity "" "" = white genocide : via """,white_grievance,white_grievance
241,francis the talking pope is such a fool it's almost entertaining unless ur catholic. imam's all need psychotherapy or lead.,inferiority,irony
242,following the jcc arrest  can we be smarter about anti-semitism ? via,incitement,white_grievance
243," as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,stereotypical,stereotypical
244,another benefit of having trump in the white house . us citizens & legal taxpayers should not be paying taxes to support illegal aliens .,white_grievance,incitement
245,dems hate white people ... just look at the candidates for dnc head .. they actually say it !,white_grievance,white_grievance
246,now it is full of jew and government infiltrators .,stereotypical,stereotypical
247,two million arab refugees are ready to invade europe . why can't the eu just close the turkish border ?,incitement,stereotypical
248,"well, there was the time ivana accused him of rape but you seem like the type to ignore that. :) however, that wasn't my point at all. i'll see if i can dumb this down a little for you, hon. ok, here goes!",irony,stereotypical
249,hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,stereotypical,stereotypical
250,no  it was just blacks . white liberal cities like seattle  boulder  portland  and state of vermont are fine .,inferiority,incitement
251,moscow bans george soros funds as threat to security via #withjewswelose,stereotypical,incitement
252," rt : texas cartoon jihadi  "" would never waver from the teachings he picked up in the mosque "" "" """,stereotypical,stereotypical
253,. why ? muslims can't be white ? what race is the jihad massacre of innocent civilians again ? i keep forgetting .,stereotypical,stereotypical
254,"sharia up, pints down.",irony,irony
255,"she didn't mean it. if she meant it, she'd have invited you over, given you a house and made the uk taxpayer fund your life.",irony,irony
256,considered to be us ! so get with the program and go all out white nationalist ! its the white thing to do !,incitement,incitement
257,a tribute to the white race . take a stand for your people  #wakeup ! #loveyourrace #aryan #arizona #blog,incitement,incitement
258,a nation is a product of race  culture and heritage of which a multicultural society destroys . white people need a land of their own .,incitement,incitement
259,: #whitegenocide means a future with no more white children in formerly white countries .,white_grievance,white_grievance
260,oh look. another lefty whom has an unnatural fixation upon sex. is that all your tiny kind can imagine?,irony,irony
261,for every well off family there are hundreds of feral bastards who sma,inferiority,inferiority
262,amna  you hate whites . why do you live in a white country ? please repatriate yourself to your country of origin .,white_grievance,white_grievance
263,black thug attacks old white man with urine because of slavery #swrm via,stereotypical,stereotypical
264,another study finds races naturally separate #swrm we hate other races in our white countries ! via,incitement,white_grievance
265,another #jew admits to white #genocide being their goal . must watch # #immigration #racism,stereotypical,white_grievance
266,i am not jewish blood . i don't support jew agenda's or jew supremacy . jason are you a jewish supremacist ?,stereotypical,stereotypical
267,white pride world wide t-shirt from the white resister :,incitement,incitement
268,as long as we take jews word for it that they are emphatically not white .,stereotypical,white_grievance
269,germany : non-white in one generation #swrm #germany #nonwhite #stopimmigration #merkelstanddown via,incitement,incitement
270,put him under the jail,threatening,threatening
271,: estonia : 1000 white nationalists protest against non-white invasion ),incitement,white_grievance
272,don't worry  bill . it's not a pogrom . we're just replacing jews with white people .,white_grievance,white_grievance
273,msm laughing @ trump deporting 11 million illegals. he doesn't have to! they will self-deport if you cut em off govt teat!,threatening,incitement
274,not white in the head - breitbart via,incitement,white_grievance
275,before i read it was white pride i was going to suggest white only sessions,incitement,incitement
276," rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """,incitement,white_grievance
277,what 's the difference between feminists and hockey players ? hockey players shower after <number> periods .,irony,irony
278,Killing communists is self defense... and also one of the manliest things a man can do.,threatening,threatening
279,white power | read more : via,incitement,incitement
280,"guantanamo is too good for them, gallows are better",threatening,irony
281,what's #romney going to do for white americans ? not for blacks  jews  israel  queers  latinos  asians  but  for white americans !,white_grievance,white_grievance
282,why should the white race not enjoy a homeland of their own making ? why should anyone actively seek to replace them ? that makes no sense .,white_grievance,white_grievance
283,deport islam back where they came from,threatening,threatening
284,"thr shld be no sanctuary cities,counties or states it is a violation of the law to harbor illegal aliens. i wld go to jail",threatening,threatening
285,stop the illegals! they r criminal in actions! we have had enough! never crooked hillary always trump! trump-pence!,threatening,incitement
286,all whites must unite and stand strong  it's about time . get off your knees white man and white woman ! !,incitement,incitement
287,"have to hire illegals in california to compete with the guy running a crew of all illegals ,its a race to the bottom in wages craftsmanship",inferiority,inferiority
288,What's a Jew's favorite book? Gone with the wind.,irony,irony
289," yes white brethren we shall unite rt  "" : kkk alive and well white brother hood unite ku klux klan "" "" """,incitement,incitement
290,"then you are living in an imaginary mzansi , go watch kalushi and learn a few things.",inferiority,irony
291," rt for whatever reason  the  "" race in your face "" "" left is rabid ant-white . the white libs are the worst . explain that . professors / media / $ oros ? """,white_grievance,white_grievance
292,"you and your chucklefuck buddies are a bunch of un/underemployed white trash that have never read/enjoyed """"western culture"""" b/c of low iq.",inferiority,inferiority
293,this ^ the white race's response  or lack thereof  2 these attempts 2 eradicate our past &,white_grievance,white_grievance
294,ethnomasochists ? call them anti-white !,white_grievance,white_grievance
295,black celebrities who belong to 5 % er anti-white race war cult #swrm #black #racists via,white_grievance,white_grievance
296,rooney stfu you go to mexico and live you love them so much.tell you what move about a thousand into your neighborhood.then you would change your tune.,irony,irony
297,whites can't be racist towards jews . jews have more institutional power,stereotypical,stereotypical
298,"someone mentioned it, i responded. then you, as thin-skinned as you are vicious, butted in. no one was talking to you, pest.",inferiority,inferiority
299,and on the same day a bunch of over paid black athletes protest whitey's oppression . white guilt is rea,white_grievance,white_grievance
300," unfortunately  valerie grim is stuck in an outdated paradigm wherein all white advocacy is  "" hate "" "" . """,white_grievance,white_grievance
301,anti-white racism has reached critical mass in america ( video ) via,white_grievance,white_grievance
302,ok keep believing that. funny how most poc that have made something of their lives normal ones don't play that garbage. don't be a criminal and work hard and you can have a good life. a life like any other race. but blacks have been taught to blame others for their failures.,inferiority,inferiority
303,"grow your own. they're almost impossible to screw up, you imbicile",inferiority,inferiority
304,modern definition of racist : any white person who doesn't hate other white people enough to please leftists and non-whites .,irony,white_grievance
305," rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,stereotypical,stereotypical
306,david duke : the racial murder and rape of white women in america | read more : via,stereotypical,white_grievance
307," jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,white_grievance,incitement
308,yeah i knew a muslim once  he was peaceful ... so ... that proves islam means peace . #tcot,irony,irony
